Scientific Name	Folder Name	Common Name
Bromus hordeaceus	brohor	soft chess
Bromus inermis	broine	smooth brome
Bromus japonicus	brojap	Japanese brome
Bromus pumpellianus	bropum	Pumpelly brome
Bromus rubens	brorub	red brome 
Bromus tectorum	brotec	cheatgrass
Bromus vulgaris	brovul	Columbia brome
Buchloe dactyloides	bucdac	buffalo grass
Calamagrostis canadensis	calcan	bluejoint reedgrass
Calamagrostis montanensis	calmon	plains reedgrass
Calamagrostis purpurascens	calpur	purple pinegrass
Calamagrostis rubescens	calrub	pinegrass
Calamovilfa longifolia	callon	prairie sandreed
Callicarpa americana	calame	American beautyberry
Calluna vulgaris	calvul	heather
Calocedrus decurrens	caldec	incense-cedar
Camassia quamash	camqua	common camas
Cardaria draba	cardra	heart-podded hoary cress
Carduus nutans	carnut	musk thistle
Carex aquatilis	caraqu	water sedge
Carex bigelowii	carbig	Bigelow sedge
Carex capitata	carcap	capitate sedge
Carex chordorrhiza	carcho	rope-root sedge
Carex concinna	carcoc	low northern sedge
Carex eleusinoides	carele	goose-grass sedge
Carex filifolia	carfil	threadleaf sedge
Carex garberi	cargar	Garber sedge
Carex geyeri	cargey	elk sedge
Carex heliophila	carhel	sun sedge
Carex lenticularis var. dolia	carlend	Kellog's sedge
Carex livida	carliv	pale sedge
Carex pensylvanica	carpen	yellow sedge
Carex petricosa	carpet	rock sedge
Carex rossii	carros	Ross' sedge
Carex rostrata	carrot	beaked sedge
Carex saxatilis	carsax	russet sedge
Carex stricta	carstr	tussock sedge
Carex vaginata	carvag	sheathed sedge
Carnegiea gigantea	cargig	saguaro
Carpinus caroliniana	carcar	American hornbeam
Carya cordiformis	carcor	bitternut hickory
Carya glabra	cargla	pignut hickory
Carya illinoensis	carill	pecan
Carya ovata	carova	shagbark hickory
Carya tomentosa	cartom	mockernut hickory
Cassia fasciculata	casfas	showy partridgepea
Castanea pumila	caspum	Allegheny chinkapin
Castilleja occidentalis	casocc	western paintbrush
Castilleja sessiliflora	casses	downy paintbrush
Casuarina spp.	casspp	Australian pine
Ceanothus americana	ceaame	New Jersey tea
Ceanothus cuneatus	ceacun	wedgeleaf ceanothus
Ceanothus foliosus	ceafol	waveyleaf ceanothus
Ceanothus greggii	ceagre	desert ceanothus
Ceanothus integerrimus	ceaint	deerbrush
Ceanothus leucodermis	cealeu	chaparral whitethorn
Ceanothus sanguineus	ceasan	redstem ceanothus
Ceanothus velutinus	ceavel	snowbrush ceanothus
Celtis laevigata	cellae	sugarberry
Celtis occidentalis	celocc	hackberry
Celtis reticulata	celret	netleaf hackberry
Centaurea diffusa	cendif	diffuse knapweed
Centaurea maculosa	cenmac	spotted knapweed
Centaurea repens	cenrep	Russian knapweed
Centaurea solstitialis	censol	yellow starthistle
Cephalanthus occidentalis	cepocc	buttonbush
Ceratiola ericoides	cereri	rosemary
Cercidium floridum	cerflo	blue paloverde
Cercidium microphyllum	cermic	yellow paloverde
Cercis canadensis	cercan	eastern redbud
Cercocarpus betuloides	cerbet	birchleaf mountain-mahogany
Cercocarpus ledifolius	cerled	curlleaf mountain-mahogany
Cercocarpus montanus	cermon	true mountain-mahogany
Chamaebatia foliolosa	chafol	Sierra mountain misery
Chamaebatiaria millefolium	chamil	desert sweet
Chamaecyparis lawsoniana	chalaw	Port-Orford-cedar
Chamaecyparis nootkatensis	chanoo	Alaska-cedar
Chamaecyparis thyoides	chathy	Atlantic white-cedar
Chamaedaphne calyculata	chacal	leatherleaf
Chilopsis linearis	chilin	desert willow
Chimaphila menziesii	chimen	little prince's pine
Chimaphila menziesii	chimen	little prince's pine
Chimaphila umbellata	chiumb	prince's pine
Chimaphila umbellata	chiumb	prince's pine
Chrysolepis chrysophylla	chrchr	giant chinquapin
Chrysolepis sempervirens	chrsem	bush chinquapin
Chrysothamnus nauseosus	chrnau	rubber rabbitbrush
Chrysothamnus paniculatus 	chrpan	desert rabbitbrush
Chrysothamnus viscidiflorus	chrvis	green rabbitbrush
Cirsium arvense	cirarv	Canada thistle
Cirsium neomexicanum	cirneo	lavender thistle
Cirsium vulgare	cirvul	bull thistle
Cladium jamaicense	clajam	sawgrass
Claytonia perfoliata	claper	miner's-lettuce
Clethra alnifolia	clealn	poor man's soap
Clintonia uniflora	cliuni	queencup beadlily
Coleogyne ramosissima	colram	blackbrush
Comptonia peregrina	comper	sweetfern
Convolvulus arvensis	conarv	field bindweed
Coptis groenlandica	copgro	goldthread
Cornus alternifolia	coralt	alternate-leaf dogwood
Cornus canadensis	corcan	bunchberry
Cornus canadensis	corcan	bunchberry
Cornus florida	corflo	flowering dogwood
Cornus nuttallii	cornut	Pacific dogwood
Cornus racemosa	corrac	gray dogwood
Cornus sericea	corser	red-osier dogwood
Corydalis aurea	coraur	golden corydalis
Corydalis sempervirens	corsem	pink corydalis
Corylus americana	corame	American hazel
Corylus cornuta var. californica	corcorc	California hazel
Crataegus douglasii	cradou	Douglas hawthorn
Critesion jubatum	crijub	foxtail barley
Cupressus arizonica	cupari	Arizona cypress
Cupressus bakeri	cupbak	Baker cypress
Cupressus forbesii	cupfor	Tecate cypress
Cupressus goveniana	cupgov	Gowen cypress
Cupressus macnabiana	cupman	MacNab cypress
Cupressus macrocarpa	cupmac	Monterey cypress
Cupressus sargentii	cupsar	Sargent cypress
Cynodon dactylon	cyndac	bermuda grass
Cypripedium passerinum	cyppas	spotted lady's slipper
Cyrilla racemiflora	cyrrac	cyrilla
Cystopteris montana	cysmon	mountain bladder-fern
Dactylis glomerata	dacglo	orchardgrass
Dalea purpurea	dalpur	purple prairie clover
Danthonia compressa	dancom	mountain oatgrass
Danthonia intermedia	danint	timber oatgrass
Danthonia spicata	danspi	poverty oatgrass
Danthonia unispicata	danuni	onespike oatgrass
Darlingtonia californica	darcal	California pitcher plant
Dasylirion leiophyllum	daslei	smooth-leaf sotol
Dasylirion wheeleri	daswhe	Wheeler sotol
Delphinium bicolor	delbic	low larkspur
Delphinium burkei	delbur	meadow larkspur
Delphinium occidentale	delocc	duncecap larkspur
Deschampsia cespitosa	desces	tufted hairgrass
Deschampsia elongata	deselo	slender hairgrass
Descurainia pinnata	despin	pinnate tansymustard
Descurainia sophia	dessop	flixweed tansymustard
Dichanthelium acuminatum	dicacu	woolly panicum
Diervilla lonicera	dielon	bush-honeysuckle
Digitaria californica	digcal	Arizona cottontop
Diospyros texana	diotex	Texas persimmon
Diospyros virginiana	diovir	common persimmon
Distichlis spicata	disspi	saltgrass
Draba fladnizensis	drafla	arctic draba
Dracocephalum parviflorum	drapar	American dragonhead
Drosera rotundifolia	drorot	round-leaved sundew
Dryopteris cristata	drycri	Buckler fern
Echinacea angustifolia	echang	purple coneflower
Echinocereus triglochidiatus	echtri	hedgehog cactus
Echinochloa crus-galli	echcru	barnyard grass
Elaeagnus angustifolia	elaang	Russian-olive
Elaeagnus commutata	elacom	silverberry
Elaeagnus umbellata	elaumb	autumn-olive
Eleocharis palustris	elypal	common spikerush
Eleocharis rostellata	eleros	beaked spikerush
Elymus canadensis	elycan	Canada wildrye
Elymus elymoides	elyely	bottlebrush squirreltail
Elymus glaucus	elygla	blue wildrye
Elymus lanceolatus	elylan	thickspike wheatgrass
Elymus macrourus	elymac	wheatgrass
Elymus trachycaulus	elytra	slender wheatgrass
Elytrigia repens	elyrep	quackgrass
Empetrum nigrum	empnig	black crowberry
Encelia farinosa	encfar	brittle bush
Encelia frutescens	encfru	bush encelia
Ephedra nevadensis	ephnev	Nevada ephedra
Ephedra viridis	ephvir	green ephedra
Epilobium angustifolium	epiang	fireweed
Epipactis gigantea	epigig	giant helleborine
Equisetum arvense	equarv	field horsetail
Equisetum sylvaticum	equsyl	wood horsetail
Eragrostis curvula	eracur	weeping lovegrass
Eragrostis intermedia	eraint	plains lovegrass
Eragrostis lehmanniana	eraleh	Lehmann lovegrass
Eremochloa ophiuroides	ereoph	centipede grass
Erigeron lanatus	erilan	wooly daisy
Eriodictyon californicum	erical	yerba santa
Eriophorum vaginatum	erivag	sheathed cottonsedge
Eriophorum viridi-carinatum	erivir	green-keeled cottongrass
Erodium cicutarium	erocic	cutleaf filaree
Erythronium grandiflorum	erygra	glacier lily
Eucalyptus globulus	eucglo	bluegum eucalyptus
Eupatorium cappillifolium	eupcap	dogfennel
Euphorbia esula	eupesu	leafy spurge
Euphrasia arctica var. disjuncta	euparcd	northern eyebright
Fagus grandifolia	faggra	American beech
Fallugia paradoxa	falpar	Apache plume
Fendlera rupicola	fenrup	fendlerbush
Ferocactus wislizenii	ferwis	barrel cactus
Festuca arundinacea	fesaru	tall fescue
Festuca californica	fescal	California fescue
Festuca idahoensis	fesida	Idaho fescue
Festuca ovina var. vivipara	fesoviv	viviparous sheep fescue
Festuca rubra	fesrub	red fescue
Festuca scabrella	fessca	rough fescue
Festuca subulata	fessub	bearded fescue
Festuca thurberi	festhu	Thurber fescue
Flourensia cernua	flocer	tarbush
Fouquieria splendens	fouspl	ocotillo
Fraxinus americana	fraame	white ash
Fraxinus anomala	fraano	singleleaf ash
Fraxinus nigra	franig	black ash
Fraxinus pennsylvanica	frapen	green ash
Fremontodendron californicum	frecal	flannelbush
Galium triflorum	galtri	sweetscented bedstraw
Garrya fremontii	garfre	Fremont silktassel
Garrya wrightii	garwri	Wright silktassel
Gaultheria procumbens	gaupro	wintergreen
Gaultheria shallon	gausha	salal
Gaylussacia baccata	gaybac	black huckleberry
Gaylussacia dumosa	gaydum	dwarf huckleberry
Gaylussacia frondosa	gayfro	dangleberry
Gentiana glauca	gengla	glaucous gentian
Gentiana propinqua	genpro	four-parted gentian
Geocaulon lividum	geoliv	northern comandra
Geranium maculatum	germac	wild geranium
Geranium richardsonii	gerric	Richardson's geranium
Gleditsia triacanthos	gletri	honey-locust
Glycyrrhiza lepidota	glylep	wild licorice
Goodyera repens	goorep	northern rattlesnake plantain
Gordonia lasianthus	gorlas	loblolly-bay
Grayia spinosa	graspi	spiny hopsage
Grindelia squarrosa	grisqu	curlycup gumweed
Gutierrezia microcephala	gutmic	threadleaf snakeweed
Gutierrezia sarothrae	gutsar	broom snakeweed
Gymnocarpium dryopteris	gymdry	oak fern
Halogeton glomeratus	halglo	halogeton
Hamamelis virginiana	hamvir	witch-hazel
Hedysarum alpinum var. americanum	hedalpa	American sweetvetch
Helianthus maximiliani	helmax	Maximilian sunflower
Hepatica acutiloba	hepacu	sharp-lobed hepatica
Heracleum lanatum	herlan	cow parsnip
Heteromeles arbutifolia	hetarb	toyon
Hierochloe odorata	hieodo	sweet grass
Hilaria belangeri	hilbel	curlymesquite
Hilaria jamesii	hiljam	galleta
Hilaria mutica	hilmut	tobosa
Hilaria rigida	hilrig	big galleta
Holodiscus discolor	holdis	oceanspray
Holodiscus dumosus	holdum	bush oceanspray
Hymenoclea salsola	hymsal	white burrobrush
Ilex ambigua	ileamb	Carolina holly
Ilex coriacea	ilecor	large gallberry
Ilex decidua	iledec	deciduous holly
Ilex glabra	ilegla	bitter gallberry
Ilex opaca	ileopa	American holly
Ilex vomitoria	ilevom	yaupon
Iliamna rivularis	iliriv	wild hollyhock
Juglans californica	jugcal	southern California walnut
Juglans cinerea	jugcin	butternut
Juglans major	jugmaj	Arizona walnut
Juglans microcarpa	jugmic	little walnut
Juglans nigra	jugnig	black walnut
Juncus balticus	junbal	Baltic rush
Juncus castaneus	juncas	chestnut rush
Juncus roemerianus	junroe	black rush
Juncus triglumis var. albescens	juntria	three-flowered rush
Juniperus ashei	junash	Ashe juniper
Juniperus californica	juncal	California juniper
Juniperus communis	juncom	common juniper
Juniperus deppeana	jundep	alligator juniper
Juniperus erythrocarpa	junery	redberry juniper
Juniperus flaccida	junfla	drooping juniper
Juniperus horizontalis	junhor	creeping juniper
Juniperus monosperma	junmon	oneseed juniper
Juniperus occidentalis	junocc	western juniper
Juniperus osteosperma	junost	Utah juniper
Juniperus pinchotii	junpin	Pinchot juniper
Juniperus scopulorum	junsco	Rocky Mountain juniper
Juniperus silicicola	junsil	southern redcedar
Juniperus virginiana	junvir	eastern redcedar
Kalmia angustifolia	kalang	sheep-laurel
Kalmia latifolia	kallat	mountain-laurel
Kobresia simpliciuscula	kobsim	simple kobresia
Kochia scoparia	kocsco	summer-cypress
Koeleria macrantha	koemac	prairie junegrass
Krameria grayi	kragra	white ratany
Krameria parvifolia	krapar	range ratany
Krascheninnikovia lanata	kralan	winterfat
Larix decidua	lardec	European larch
Larix laricina	larlar	tamarack
Larix lyallii	larlya	alpine larch
Larix occidentalis	larocc	western larch
Larrea tridentata	lartri	creosotebush
Lathyrus bijugatus	latbij	pinewoods sweetpea
Ledum groenlandicum	ledgro	bog labrador tea
Lepidium latifolium	leplat	perennial pepperweed
Leptodactylon pungens	leppun	prickly phlox
Lespedeza bicolor	lesbic	bicolor lespedeza
Lespedeza cuneata	lescun	sericea lespedeza
Lespedeza striata	lesstr	common lespedeza
Leucopoa kingii	leukin	spike fescue
Leucothoe racemosa	leurac	fetterbush
Lewisia rediviva	lewred	bitterroot
Leymus ambiguus	leyamb	Colorado wildrye
Leymus cinereus	leycin	basin wildrye
Leymus innovatus	leyinn	boreal wildrye
Leymus salinus	leysal	Salina wildrye
Liatris punctata	liapun	blazing star
Linnaea borealis	linbor	twinflower
Linnaea borealis	linbor	twinflower
Liquidambar styraciflua	liqsty	sweetgum
Liriodendron tulipifera	lirtul	yellow-poplar
Lithocarpus densiflora	litden	tanoak
Lolium multiflorum	lolmul	Italian ryegrass
Lolium perenne	lolper	perennial ryegrass
Lonicera japonica	lonjap	Japanese honeysuckle
Lonicera japonica	lonjap	Japanese honeysuckle
Lonicera utahensis	lonuta	Utah honeysuckle
Lupinus caudatus	lupcau	tailcup lupine
Lupinus sericeus	lupser	silky lupine
Luzula hitchcockii	luzhit	smooth woodrush
Lycium andersonii	lycand	Anderson wolfberry
Lycium berlandieri	lycber	Berlandier wolfberry
Lycium pallidum	lycpal	pale wolfberry
Lycium torreyi	lyctor	Torrey wolfberry
Lycopodium alpinum	lycalp	alpine clubmoss
Lycopodium annotinum	lycann	stiff clubmoss
Lycopodium obscurum	lycobs	ground pine
Lyonia ligustrina	lyolig	maleberry
Lyonia lucida	lyoluc	fetterbush
Lythrum salicaria	lytsal	purple loosestrife
Maclura pomifera	macpom	osage-orange
Magnolia grandiflora	maggra	southern magnolia
Magnolia virginiana	magvir	sweetbay
Mahonia repens	mahrep	Oregon-grape
Mahonia trifoliolata	mahtri	agarito
Maianthemum canadense	maican	wild lily-of-the-valley
Maianthemum stellatum	maiste	starry Solomon's seal
Malosma laurina	mallau	laurel sumac
Medicago sativa	medsat	alfalfa
Melaleuca quinquenervia	melqui	melaleuca
Melanthium latifolium	mellat	slender bunchflower
Melilotus alba	melalb	white sweetclover
Melilotus officinalis	meloff	yellow sweetclover
Menziesia ferruginea	menfer	menziesia
Mimosa biuncifera	mimbiu	catclaw mimosa
Mitchella repens	mitrep	partridgeberry
Montia diffusa	mondif	branching montia
Morus rubra	morrub	red mulberry
Muhlenbergia cuspidata	muhcus	plains muhly
Muhlenbergia montana	muhmon	mountain muhly
Muhlenbergia porteri	muhpor	bush muhly
Muhlenbergia racemosa	muhrac	green muhly
Muhlenbergia richardsonis	muhric	mat muhly
Myrica cerifera	myrcer	southern bayberry
Nolina microcarpa	nolmic	sacahuista
Nolina microcarpa	nolmic	sacahuista
Nyssa sylvatica	nyssyl	black tupelo
Oplopanax horridus	oplhor	devil's club
Opuntia humifusa	opuhum	prickly pear cactus
Opuntia polyacantha	opupol	plains prickly pear
Oryzopsis hymenoides	oryhym	Indian ricegrass
Osmorhiza claytoni	osmcla	sweet cicely
Osmunda cinnamomea	osmcin	cinnamon fern
Ostrya knowltonii	ostkno	Knowlton hophornbeam
Ostrya virginiana	ostvir	eastern hophornbeam
Oxalis montana	oxamon	common woodsorrel
Oxydendrum arboreum	oxyarb	sourwood 
Oxytropis campestris var. columbiana	oxycamc	Columbia River crazyweed
Oxytropis podocarpa	oxypod	stalked-pod crazyweed
Oxytropis sericea	oxyser	whitepoint locoweed
Pachistima myrsinites	pacmyr	pachistima
Panicum hemitomon	panhem	maidencane
Panicum obtusum	panobt	vine-mesquite
Panicum virgatum	panvir	switchgrass
Papaver pygmaeum	pappyg	alpine glacier poppy
Parthenocissus quinquefolia	parqui	Virginia creeper
Pascopyrum smithii	passmi	western wheatgrass
Paspalum distichum	pasdis	knotgrass
Pediocactus papyracanthus	pedpap	grama grass cactus
Persea borbonia	perbor	redbay
Phalaris arundinacea	phaaru	reed canarygrass
Philadelphus hirsutus	phihir	hairy mockorange
Philadelphus lewisii	philew	Lewis' mockorange
Phleum pratense	phlpra	timothy
Phlox hoodii	phlhoo	Hood's phlox
Phragmites australis	phraus	common reed
Physocarpus malvaceus	phymal	ninebark
Picea abies	picabi	Norway spruce
Picea breweriana	picbre	Brewer spruce
Picea engelmannii	piceng	Engelmann spruce
Picea glauca	picgla	white spruce
Picea mariana	picmar	black spruce
Picea pungens	picpun	blue spruce
Picea rubens	picrub	red spruce
Picea sitchensis	picsit	Sitka spruce
Pickeringia montana	picmon	chaparral pea
Pinguicula vulgaris	pinvul	common butterwort
Pinus albicaulis	pinalb	whitebark pine
Pinus aristata	pinari	Rocky Mountain bristlecone pine
Pinus attenuata	pinatt	knobcone pine
Pinus balfouriana	pinbal	foxtail pine
Pinus banksiana	pinban	jack pine
Pinus cembroides	pincem	Mexican pinyon
Pinus clausa	pincla	sand pine
Pinus contorta var. contorta	pinconc	shore pine
Pinus contorta var. latifolia	pinconl	Rocky Mountain lodgepole pine
Pinus contorta var. murrayana	pinconm	Sierra lodgepole pine
Pinus coulteri	pincou	Coulter pine
Pinus echinata	pinech	shortleaf pine
Pinus edulis	pinedu	true pinyon
Pinus elliottii	pinell	slash pine
Pinus engelmannii	pineng	Apache pine
Pinus flexilis	pinfle	limber pine
Pinus glabra	pingla	spruce pine
Pinus jeffreyi	pinjef	Jeffrey pine
Pinus lambertiana	pinlam	sugar pine
Pinus leiophylla var. chihuahuana	pinleic	Chihuahua pine
Pinus longaeva	pinlon	Great Basin bristlecone pine
Pinus monophylla	pinmon	singleleaf pinyon
Pinus monticola	pinmot	western white pine
Pinus muricata	pinmur	bishop pine
Pinus nigra	pinnig	European black pine
Pinus palustris	pinpal	longleaf pine
Pinus ponderosa var. arizonica	pinpona	Arizona pine
Pinus ponderosa var. ponderosa	pinponp	Pacific ponderosa pine
Pinus ponderosa var. scopulorum	pinpons	interior ponderosa pine
Pinus pungens	pinpun	Table Mountain pine
Pinus quadrifolia	pinqua	Parry pinyon
Pinus radiata	pinrad	Monterey pine
Pinus resinosa	pinres	red pine
Pinus rigida	pinrig	pitch pine
Pinus sabiniana	pinsab	gray pine
Pinus serotina	pinser	pond pine
Pinus strobiformis	pinsto	southwestern white pine
Pinus strobus	pinstr	eastern white pine
Pinus sylvestris	pinsyl	Scotch pine
Pinus taeda	pintae	loblolly pine
Pinus torreyana	pintor	Torrey pine 
Pinus virginiana	pinvir	Virginia pine
Pinus washoensis	pinwas	Washoe pine
Platanus occidentalis	plaocc	sycamore
Poa arida	poaari	plains bluegrass
Poa compressa	poacom	Canada bluegrass
Poa cusickii	poacus	Cusick's bluegrass
Poa pratensis	poapra	Kentucky bluegrass
Poa secunda	poasec	Sandberg bluegrass
Polygonum spp.	polspp	smartweed
Polygonum spp.	polspp	smartweed
Polystichum munitum	polmun	western sword fern
Populus angustifolia	popang	narrowleaf cottonwood
Populus balsamifera	popbal	balsam poplar
Populus deltoides	popdel	eastern cottonwood
Populus fremontii	popfre	Fremont cottonwood
Populus grandidentata	popgra	bigtooth aspen
Populus tremuloides	poptre	quaking aspen
Populus trichocarpa	poptri	black cottonwood
Potentilla fruticosa	potfru	shrubby cinquefoil
Potentilla glandulosa	potgla	sticky cinquefoil
Potentilla hippiana	pothip	horse cinquefoil
Potentilla newberryi	potnew	Newberry cinquefoil
Potentilla recta	potrec	sulfur cinquefoil
Prosopis glandulosa var. glandulosa	proglag	honey mesquite
Prosopis glandulosa var. torreyana	proglat	western honey mesquite
Prosopis pubescens	propub	screwbean mesquite
Prosopis velutina	provel	velvet mesquite
Prunus americana	pruame	American plum
Prunus andersonii	pruand	desert peach
Prunus emarginata	pruema	bitter cherry
Prunus fremontii	prufre	desert apricot
Prunus ilicifolia	pruili	hollyleaf cherry
Prunus pensylvanica	prupen	pin cherry
Prunus serotina	pruser	black cherry
Prunus virginiana	pruvir	chokecherry
Psathyrostachys juncea	psajun	Russian wildrye
Pseudoroegneria spicata	psespi	bluebunch wheatgrass
Pseudotsuga macrocarpa	psemac	bigcone Douglas-fir
Pseudotsuga menziesii var. glauca	psemeng	Rocky Mountain Douglas-fir
Pseudotsuga menziesii var. menziesii	psemenm	coast Douglas-fir
Psoralea hypogaea	psohyp	little breadroot
Pteridium aquilinum	pteaqu	bracken fern
Pueraria lobata	puelob	kudzu
Purshia glandulosa	purgla	desert bitterbrush
Purshia mexicana var. stansburiana	purmexs	Stansbury cliffrose
Purshia tridentata	purtri	antelope bitterbrush
Quercus agrifolia	queagr	coast live oak
Quercus alba	quealb	white oak
Quercus arizonica	queari	Arizona white oak
Quercus bicolor	quebic	swamp white oak
Quercus chrysolepis	quechr	canyon live oak
Quercus coccinea	quecoc	scarlet oak
Quercus douglasii	quedou	blue oak
Quercus dumosa	quedum	Nuttall's scrub oak
Quercus ellipsoidalis	queell	northern pin oak
Quercus emoryi	queemo	Emory oak
Quercus falcata	quefal	southern red oak
